component	kappa	rho	variance explained	normalized variance explained	countsigFR2	countsigFS0	dice_FR2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	d_table_score_scrub	classification	rationale
0	94.503653	8.273931	0.644560	0.703841	8423.000000	2547.000000	0.715744	0.369413	1644	32.567233	0.000000	36	26.000000	accepted	
1	92.656552	8.195826	0.711676	0.593323	11186.000000	3574.000000	0.753645	0.342156	1663	26.428472	0.000000	23	18.000000	accepted	
2	91.131969	9.165041	1.514007	0.935768	10995.000000	3344.000000	0.745749	0.376974	1733	27.173364	0.000000	27	22.000000	accepted	
3	64.360388	8.434264	0.900743	0.669243	9818.000000	3278.000000	0.750914	0.373623	2544	42.101398	0.000000	24	17.000000	accepted	
4	64.226045	8.943818	0.790965	0.678043	9371.000000	2376.000000	0.723656	0.293851	2195	39.057028	0.000000	32	24.000000	accepted	
5	59.511111	7.942282	0.599088	0.505288	8759.000000	2522.000000	0.715287	0.380602	2748	46.757201	0.000000	41	29.000000	accepted	
6	57.703930	8.112997	0.974692	0.991425	12439.000000	3731.000000	0.742632	0.317624	2605	37.925314	0.000000	30	25.000000	accepted	
7	50.432254	7.927924	0.426178	0.748505	7152.000000	1373.000000	0.620616	0.254289	1938	40.034022	0.000000	50	39.000000	accepted	
8	48.297048	8.607350	0.642555	0.566517	9005.000000	2152.000000	0.689992	0.235110	3307	33.208872	0.000000	67	50.000000	accepted	
9	47.638402	23.805148	2.588709	2.313245	14641.000000	8002.000000	0.568521	0.312806	2481	0.564479	0.572456	82		rejected	I007
10	43.790019	8.639533	0.529602	0.432104	7175.000000	2605.000000	0.695807	0.345192	2947	40.082684	0.000000	60	44.000000	accepted	
11	40.863975	11.857617	3.652236	1.656361	9103.000000	1533.000000	0.472280	0.012993	2672	-9.415204	0.000000	383		rejected	I005
12	40.256909	22.138579	31.417306	22.293964	20370.000000	10324.000000	0.588796	0.297479	3716	-4.854773	0.000004	382		rejected	I005
13	39.338927	8.836977	0.356674	0.425987	6994.000000	1610.000000	0.690998	0.308068	2489	35.181456	0.000000	60	46.000000	accepted	
14	38.841720	8.586995	1.080564	0.981170	9497.000000	2421.000000	0.714303	0.314404	2935	43.487494	0.000000	50	35.000000	accepted	
15	38.337243	9.371963	0.288500	0.671638	3292.000000	1418.000000	0.556791	0.288143	1505	24.402848	0.000000	78	59.000000	accepted	
16	38.170467	9.537853	0.986999	0.480754	8374.000000	2524.000000	0.603332	0.311909	3106	20.434630	0.000000	86	64.000000	accepted	
17	36.991256	32.600672	3.169392	3.986729	9388.000000	9357.000000	0.469102	0.389672	3856	0.000000	0.000000	341		rejected	I007
18	34.358954	29.226088	2.810157	3.563560	8446.000000	6476.000000	0.400284	0.353005	3640	-1.281392	0.200581	372		rejected	I005
19	34.174727	7.732660	0.197945	0.259557	4689.000000	964.000000	0.566503	0.232182	3287	34.920483	0.000000	91	65.000000	accepted	
20	33.441403	9.116525	0.141369	0.240781	2305.000000	1178.000000	0.521554	0.394257	3203	30.298113	0.000000	104	76.000000	accepted	
21	32.108778	11.974555	9.742719	3.722323	13528.000000	3112.000000	0.633286	0.295745	1109	-5.818146	0.000000	358		rejected	I005
22	29.506569	7.122626	1.671622	1.580673	9798.000000	768.000000	0.497920	0.000000	3084	4.921180	0.000001	100		rejected	I007
23	29.104867	32.089376	7.519649	6.088551	12146.000000	9173.000000	0.447872	0.407932	3643	-11.136764	0.000000	412		rejected	I002;I005
24	24.383067	29.794184	1.366562	1.542398	10442.000000	7833.000000	0.363730	0.382793	4488	-5.204847	0.000000	436		rejected	I002;I004;I005
25	23.238244	16.887231	2.451992	1.922823	6474.000000	3844.000000	0.403439	0.133226	4531	-2.333484	0.020121	423		rejected	I005
26	22.024879	24.519790	2.006471	1.680389	4347.000000	4038.000000	0.380997	0.286772	3998	0.458569	0.646802	176		rejected	I002
27	21.238127	11.377817	0.298915	0.329884	2219.000000	927.000000	0.158466	0.009950	3941	-3.198650	0.001649	455		rejected	I005
28	21.182014	11.891502	0.258395	0.323550	2193.000000	1500.000000	0.130435	0.033389	4054	2.019884	0.048347	186	101.000000	rejected	I010
29	20.448146	16.969762	1.237823	1.386362	8729.000000	5154.000000	0.409951	0.131664	4309	1.187438	0.235840	162	87.000000	rejected	I010
30	19.275311	10.849344	0.139843	0.281785	860.000000	251.000000	0.000000	0.000000	4157	8.348553	0.000000	476	111.000000	rejected	I010
31	17.135566	8.347304	0.295986	0.396136	3959.000000	410.000000	0.391904	0.298137	3459	12.639266	0.000000	135	87.000000	rejected	I010
32	16.016979	20.137168	0.552718	0.637064	2025.000000	2725.000000	0.106544	0.174489	3038	7.365204	0.000000	161		rejected	I002;I003;I004
33	15.922218	10.168497	0.130679	0.242686	1182.000000	266.000000	0.000000	0.000000	4204	7.529580	0.000000	477	112.000000	accepted	
34	15.839504	23.060535	0.467940	0.564056	1446.000000	2103.000000	0.070332	0.142094	2929	0.116301	0.907442	194		rejected	I002;I003;I004
35	15.519101	23.548476	0.860022	1.214409	4272.000000	7741.000000	0.268893	0.444758	3479	-4.355876	0.000014	444		rejected	I002;I003;I004;I005
36	15.504749	23.197320	0.336843	0.442165	1988.000000	1740.000000	0.262102	0.274475	2870	8.137862	0.000000	153		rejected	I002;I004
37	15.416600	16.138859	0.308013	0.395117	2027.000000	1544.000000	0.176629	0.254639	3701	7.138463	0.000000	178		rejected	I002;I004
38	15.333320	10.112625	0.349769	0.483629	3501.000000	1439.000000	0.203587	0.137803	4879	0.000000	0.000000	411	114.000000	rejected	I010
39	14.895528	10.487445	0.305415	0.373846	2664.000000	629.000000	0.075864	0.000000	4664	0.000000	0.000000	419	118.000000	rejected	I010
40	14.718846	19.830459	0.291583	0.398220	598.000000	1647.000000	0.000000	0.216632	3583	8.443500	0.000000	472		rejected	I002;I003;I004
41	14.372984	34.033500	0.194327	0.267942	863.000000	1644.000000	0.289720	0.368720	2707	12.215224	0.000000	153		rejected	I002;I003;I004
42	13.645752	11.446746	0.458719	0.879881	4084.000000	4042.000000	0.337228	0.303371	2596	2.813579	0.004923	142	86.000000	rejected	I010
43	13.173999	14.167305	0.606599	0.452206	1682.000000	754.000000	0.192143	0.252912	4399	1.243069	0.214800	212		rejected	I002;I004
44	13.140058	9.206651	0.501271	0.422548	2179.000000	237.000000	0.281553	0.000000	4931	0.000000	0.000000	418	120.000000	rejected	I010
45	13.082667	16.747402	0.273282	0.388807	1137.000000	1536.000000	0.000000	0.059194	3906	8.505253	0.000000	478		rejected	I002;I003;I004
46	12.156496	8.365646	0.237636	0.260730	1494.000000	953.000000	0.432432	0.194542	4467	8.851825	0.000000	184	104.000000	rejected	I010
47	11.848930	27.496302	0.100943	0.141866	568.000000	998.000000	0.490798	0.569697	3351	20.657782	0.000000	162		rejected	I002;I003;I004
48	11.745119	12.876165	0.162781	0.250099	170.000000	432.000000	0.000000	0.000000	3807	1.834197	0.067254	511		rejected	I002;I003
49	11.266051	21.619502	0.089372	0.135812	426.000000	949.000000	0.448630	0.446166	3870	16.851911	0.000000	185		rejected	I002;I003
50	11.227628	16.038952	0.313978	0.390274	694.000000	1171.000000	0.000000	0.107717	3805	-0.604557	0.545870	723		rejected	I002;I003;I004;I005
51	10.870308	16.761226	0.301873	0.396270	637.000000	916.000000	0.000000	0.000000	3546	-9.738090	0.000000	779		rejected	I002;I003;I005
52	10.666448	34.485089	0.106738	0.172298	605.000000	1210.000000	0.264828	0.282517	3347	11.215130	0.000000	186		rejected	I002;I003;I004
53	10.171511	12.941329	0.147640	0.247610	46.000000	347.000000	0.000000	0.000000	3677	-0.531223	0.595508	820		rejected	I002;I003;I005
54	9.412549	13.664456	0.151302	0.244879	256.000000	1023.000000	0.000000	0.000000	4133	2.522289	0.011917	510		rejected	I002;I003
55	9.118992	7.572433	0.069661	0.121948	816.000000	0.000000	0.121699	0.000000	5141	0.000000	0.000000	455	130.000000	accepted	
56	8.502712	9.167808	0.184940	0.229729	194.000000	382.000000	0.000000	0.000000	3805	-7.546727	0.000000	798		rejected	I002;I003;I005
57	8.432376	7.528400	0.075367	0.143286	162.000000	309.000000	0.000000	0.000000	5138	-3.342280	0.001523	818		rejected	I003;I005
58	8.419266	11.238270	0.081453	0.154544	159.000000	259.000000	0.000000	0.000000	5078	0.000000	0.000000	749		rejected	I002;I003
59	8.398102	7.224945	0.063155	0.122195	886.000000	250.000000	0.333056	0.226415	5224	0.000000	0.000000	448	125.000000	accepted	
60	8.331097	8.977421	0.237756	0.274904	117.000000	367.000000	0.000000	0.000000	3295	-11.621812	0.000000	809		rejected	I002;I003;I005
